#GR_shortname	GR_Title	NBK_id	PMID
aadc-def	Aromatic L-Amino Acid Decarboxylase Deficiency	NBK595821	37824694
aars2-dis	AARS2-Related Disorder	NBK608563	39480987
ab-lipo-p	Abetalipoproteinemia	NBK532447	30358967
abs	Cytochrome P450 Oxidoreductase Deficiency	NBK1419	20301592
accpn	Hereditary Motor and Sensory Neuropathy with Agenesis of the Corpus Callosum	NBK1372	20301546
achm	Achromatopsia	NBK1418	20301591
achon1b	Achondrogenesis Type 1B	NBK1516	20301689
achondroplasia	Achondroplasia	NBK1152	20301331
acp	Aceruloplasminemia	NBK1493	20301666
acpp	Andersen-Tawil Syndrome	NBK1264	20301441
actg2-dis	ACTG2 Visceral Myopathy	NBK299311	26072522
ada	Adenosine Deaminase Deficiency	NBK1483	20301656
ada2-def	Adenosine Deaminase 2 Deficiency	NBK544951	31393689
adamtsl4-eyes	ADAMTSL4-Related Eye Disorders	NBK84111	22338190
adcy5-dysk	ADCY5-Related Movement Disorder	NBK263441	25521004
adnfle	Autosomal Dominant Sleep-Related Hypermotor (Hyperkinetic) Epilepsy	NBK1169	20301348
adnp-dis	ADNP-Related Helsmoortel-Van der Aa Syndrome	NBK355518	27054228
aec	TP63-Related Disorders	NBK43797	20556892
aff4-chops	AFF4-Related CHOPS Syndrome	NBK621037	41712746
ags	Aicardi-Goutieres Syndrome	NBK1475	20301648
agu	Aspartylglucosaminuria	NBK599378	38252773
ahc	NR0B1-Related Adrenal Hypoplasia Congenita	NBK1431	20301604
aic	Aicardi Syndrome	NBK1381	20301555
aip	Acute Intermittent Porphyria	NBK1193	20301372
alagille	Alagille Syndrome	NBK1273	20301450
alexander	Alexander Disease	NBK1172	20301351
alkap	Alkaptonuria	NBK1454	20301627
alk-nbs	ALK-Related Neuroblastic Tumor Susceptibility	NBK24599	20301782
alpers	POLG-Related Disorders	NBK26471	20301791
alpha1-a	Alpha-1 Antitrypsin Deficiency	NBK1519	20301692
alpk1-auto	ALPK1-Related Autoinflammatory Disease	NBK604494	38935811
alport	Alport Syndrome	NBK1207	20301386
alps	Autoimmune Lymphoproliferative Syndrome	NBK1108	20301287
