#NBK_id	GR_shortname	genesymbol	UniProt
NBK1352	sma	GEMIN2	O14893
NBK1352	sma	SMNDC1	O75940
NBK1140	sca6	CACNA1A	O00555
NBK1256	sca7	ATXN7	O15265
NBK1305	huntington	HTT	P42858
NBK1369	ebs	KRT5	P13647
NBK1369	ebs	DST	Q03001
NBK1275	sca2	ATXN2	Q99700
NBK1394	bws	KCNQ1OT1
NBK1369	ebs	CD151	P48509
NBK1369	ebs	KRT14	P02533
NBK1394	bws	H19
NBK1182	pmd	PLP1	P60201
NBK1394	bws	IGF2	P01344
NBK1296	npc	NPC2	P61916
NBK1302	stickler	COL9A1	P20849
NBK1302	stickler	COL11A2	P13942
NBK1302	stickler	COL2A1	P02458
NBK1302	stickler	COL9A2	Q14055
NBK1302	stickler	COL11A1	P12107
NBK1302	stickler	COL9A3	Q14050
NBK1394	bws	KCNQ1	P51787
NBK1220	tuberous-sclerosis	TSC1	Q92574
NBK1265	usher1	MYO7A	Q13402
NBK1394	bws	CDKN1C	P49918
NBK1394	bws	H19-ICR
NBK1494	eds4	COL3A1	P02461
NBK1265	usher1	USH1C	Q9Y6N9
NBK1265	usher1	CIB2	O75838
NBK1374	cmtx	GJB1	P08034
NBK1341	usher2	USH2A	O75445
NBK1429	androgen	AR	P10275
NBK1322	biotin	BTD	P43251
NBK1512	wilson	ATP7B	P35670
NBK1424	mcad	ACADM	P11310
NBK1218	tay-sachs	HEXA	P06865
NBK1380	bor	SIX1	Q15475
NBK1500	cadasil	NOTCH3	Q9UM47
NBK1273	alagille	JAG1	P78504
NBK1273	alagille	NOTCH2	Q04721
NBK1351	hht	ENG	P17813
NBK1351	hht	SMAD4	Q13485
NBK1351	hht	ACVRL1	P37023
NBK1238	krabbe	GALC	P54803
NBK1184	sca1	ATXN1	P54253
NBK1352	sma	SMN1	Q16637
NBK1196	sca3	ATXN3	P54252
NBK1434	deafness-overview	SMPX	Q9UHP9
NBK1434	deafness-overview	TMIE	Q8NEW7
NBK1434	deafness-overview	TRIOBP	Q9H2D6
NBK1434	deafness-overview	WHRN	Q9P202
NBK1352	sma	SMN2	Q16637
NBK1434	deafness-overview	ESRRB	O95718
NBK1434	deafness-overview	LHFPL5	Q8TAF8
NBK1434	deafness-overview	MYH14	Q7Z406
NBK1369	ebs	PLEC	Q15149
NBK1434	deafness-overview	PRPS1	P60891
NBK1434	deafness-overview	RDX	P35241
NBK1434	deafness-overview	SIX1	Q15475
NBK1434	deafness-overview	TMC1	Q8TDI8
